Term,Definition,Type,Acronyms,synonyms,Tags,Link
(Main) Product Group,see MH Product Group,fashion,,,,
Account Management Tool,"Account Management Tool is an SAP based application that provides sales teams with a comprehensive view of their wholesale customers. Used by country sales management in order to plan appointments, make budgeting and forecasting decisions, as well as capture the success of each engagement with those customers",fashion,,,,
Accounts Receivable aging,Acounts Receivable aging is the categorization of accounts receivable according to the length of time an invoice has been outstanding,fashion,,,,
Accuracy Requested Delivery Date and Actual Delivery Date,Accuracy Requested Delivery Date and Actual Delivery Date is the information relative to the requested delivery date vs the actual date it has been delivered,fashion,,,,
Active and lost consumers,Active and lost customers is the number of active consumers (who purchased within last 12 months) and the number of inactive consumers (who purchased more than 12 months ago),fashion,,,,
Actual Delivery Date,Actual Delivery Date is the date on which the goods or products are actually delivered to the customer,fashion,,,,
Actuals,"Actuals is the term used for the actual results from a store - this can be sales, conversion rate, ASP etc.",fashion,,,,
Adoption rate,Adoption Rate is the forward ordered styles/options as a percentage of all styles/options offered in the collection. Share of core assortment styles/options bought from the full offer to monitor adopted brand identity,fashion,,,,
Affinity segment,Affinity Segment is a grouping on products that we assign consumers to based on their purchases,fashion,,,,
Anchor Store,Anchor Store is a store which is in a major city in a prime location anchoring the brand in that city,fashion,,,,
Application Programming Interface,An API is a set of functions and procedures provided by an application to enable other applications to call its features or data through a standardized way.,fashion,,,,
Artificial Intelligence,"Artificial intelligence (AI, also machine intelligence, MI) is intelligence displayed by machines, in contrast with the natural intelligence (NI) displayed by humans and other animals. In computer science AI research is defined as the study of ""intelligent agents"": any device that perceives its environment and takes actions that maximize its chance of success at some goal.[",fashion,,,,
"Asia Pacific, APAC","Asia Pacific is an area consisting of Australia, India, SEA (South East Asia), Hong Kong and Taiwan",fashion,,,,
Augmented Reality,"Augmented Reality is a technology that superimposes a computer-generated image on a user's view of the real world, thus providing a composite view",fashion,,,,
Available to Purchase,"Available to Purchase is the term used for existing stock available to fulfill orders, given certain prioritization rules",fashion,,,,
Average Order Value,Average Order Value measures the average total of every order placed over a defined time period in money,fashion,,,,
Average Retail Price,"The Average Retail Price is the average price, paid by the consumer for a specific product",fashion,,,,
Average Selling Price,Average Selling Price is the Wholesale or Retail Value / # Pieces (volume),fashion,,,,
Average Transaction Value,Average Transaction Value is the average amount of money that a consumer spends in a store during a visit on purchases based on single receipt,fashion,,,,
"Belgium, Netherlands and Luxemburg","BENELUX is the geographical area consisting of the countries Belgium, Netherlands and Luxemburg",fashion,,,,
Best Sellers,Best Sellers are articles whose sales are among the highest of its class,fashion,,,,
Brand Story,,fashion,,,,
Brand Merchandising Dept,Central function responsible for merchandising framework and brand strategy across all divisions,fashion,,,,
Brand value/rankings,"Brand equity describes the value of having a well known name, based on the idea that the owner of a well-known brand can generate more revenue simply from brand recognition, compared to an unknown brand",fashion,,,,
Budget,"Budget is the target of any particular KPI - can be sales, conversion rate, ASP",fashion,,,,
Business Intelligence,"Business Intelligence is a technology-driven process for analyzing data and presenting actionable information to help corporate executives, business managers and other end users make more informed business decisions",fashion,,,,
Business to Business,"Busness to Business are the activities, products and services of the business that are marketed to other businesses",fashion,,,,
Business to Consumers,Business to Consumers are activities or transactions conducted directly between a company and their end-consumers,fashion,,,,
Business Units,"A Business Unit is a logical element or segment of a company (such as accounting, production, marketing) representing a specific business function, and a definite place on the organizational chart, under the domain of a manager.",fashion,,,,
Buy now wear now,"""Buy now wear now"" product is the type of product that is placed on the shop floor exactly at the time the end consumer actually wants it (meaning no down jackets in the month of May)",fashion,,,,
Buys per option/style,Buys per option/style is the average forward order productivity per option/style from a seasonal collection in pieces/volume per division,fashion,,,,
Calendar ambassadors,"A Calender ambassador is a selected person within the division who is responsible to drive the calendar mapping and roll-out process, as well as serve as a key contact person in the divisions for questions on the calendar.",fashion,,,,
Calendar visualization tool,"Calendar visualization tool is a application currently in development which will eventually visualize the Speed 360 milestones, logic and key dates for the whole organization",fashion,,,,
Calvin Klein Accessories Division,Calvin Klein Accessories Division is the Division of the brand Calvin Klein responsible for producing accessories,fashion,,,,
Cancellation,Term to be removed from glossary,fashion,,,,
Capacity planning,"Capacity planning is the activity of estimating space, computer infrastructure, machines or human resources that will be needed over some future period of time",fashion,,,,
